,FMID,Market_Name,City,State,Lat,Lon
0,1018261, Caledonia Farmers Market Association - Danville,Danville,Vermont,44.411035999999996,-72.140337
1,1018318, Stearns Homestead Farmers' Market,Parma ,Ohio,41.3748009,-81.7339387
2,1009364,106 S. Main Street Farmers Market,Six Mile,South Carolina,34.8042,-82.8187
3,1010691,10th Steet Community Farmers Market,Lamar ,Missouri,37.495628,-94.2746191
4,1002454,112st Madison Avenue,New York,New York,40.7939,-73.9493
5,1011100,12 South Farmers Market,Nashville,Tennessee,36.11837,-86.79070899999999
6,1009845,125th Street Fresh Connect Farmers' Market,New York,New York,40.8089533,-73.94824770000001
7,1005586,12th & Brandywine Urban Farm Market,Wilmington,Delaware,39.742117,-75.53446
8,1008071,14&U Farmers' Market,Washington,District of Columbia,38.9169984,-77.0320505
9,1012710,14th & Kennedy Street Farmers Market,Washington ,District of Columbia,38.9559783,-77.03344859999999
10,1019157,16th Ave Farmers Market,Portland,Oregon,45.534498,-122.649446
11,1018792,170 Farm Stand,Bronx,New York,40.8398843,-73.91678409999999
12,1016782,175th Street Greenmarket,New York ,New York,40.846354,-73.93804899999999
13,1003877,17th Ave Market,Minneapolis,Minnesota,45.0044,-93.2591
14,1016784,17th Street Farmers Market,Richmond ,Virginia,37.53385,-77.428364
15,1010968,18th and Christian Farmers' Market,Philadelphia,Pennsylvania,39.940943,-75.17343100000001
16,1009994,18th Street Farmer's Market,Scottsbluff,Nebraska,41.864268,-103.662538
17,1018365,18th Street Farmers Market,Charleston ,Illinois,39.490714399999995,-88.1622392
18,1012790,19/27 Community Farmers Market,Chiefland,Florida,29.484854100000003,-82.85787320000001
19,1012158,21 Acres Farm Market,Woodinville,Washington,47.75023970000001,-122.1569875
20,1010873,21st Street Farmers Market,Topeka,Kansas,39.028184,-95.71451400000001
21,1005309,22nd and Tasker Farmers' Market,Philadelphia,Pennsylvania,39.932257,-75.181286
22,1000709,22nd Annual Highlands Business Partnership Farmers Market,Highlands,New Jersey,40.404837,-73.99435799999999
23,1011881,25th Street Market - North Logan at the Library Summer 2016,North Logan,Utah,41.778243700000004,-111.8206049
24,1010966,26th and Allegheny,Philadelphia,Pennsylvania,40.0040946,-75.17228829999999
25,1005299,29th and Wharton Farmers' Market,Philadelphia,Pennsylvania,39.9373,-75.19204
26,1010994,2nd Street Farmers' Market,Amherst,Virginia,37.583311,-79.048573
27,1009959,2nd Street Market - Five Rivers MetroPark,Dayton,Ohio,39.762593,-84.18103
28,1004950,3 French Hens French Country Market,Morris,Illinois,41.356383,-88.425186
29,1010775,30A Farmers' Market,Rosemary Beach,Florida,30.279017,-86.00275400000001
30,1018656,31 & Main Farmers Market at Campus Town,Ewing,New Jersey,40.268253,-74.783289
31,1005636,32nd Street/Waverly Farmers Market,Baltimore,Maryland,39.3272,-76.611
32,1005310,33rd and Diamond Farmers' Market,Philadelphia,Pennsylvania,39.988802,-75.187167
33,1018389,38th & Meridian Farmer's Market ,Indianapolis,Indiana,39.8255595,-86.1575468
34,1012280,39 North Marketplace,Sparks,Nevada,39.534773,-119.754962
35,1011213,441 Ministries Farm Stand,Rochester,New York,43.1658344,-77.5666043
36,1010965,4th and Lehigh Farmers' Market,Philadelphia,Pennsylvania,39.991748,-75.138654
